Company,Product,Gross,Issue,Issue Year,Size,Issue Date,Invoice Number,Invoice Amount,Invoice Date,Commissioned Rep
7 Points - Cannabis Delivery,Paso Robles Magazine,263.0000,July,2023,1/8 Page,7/1/2023 12:00:00 AM,2023-27121,263.0000,06/08/2023,Dana McGraw
7 Points - Cannabis Delivery,Paso Robles Magazine,263.0000,August,2023,1/8 Page,8/1/2023 12:00:00 AM,2023-27122,263.0000,07/10/2023,Dana McGraw
7 Points - Cannabis Delivery,Paso Robles Magazine,263.0000,September,2023,1/8 Page,9/1/2023 12:00:00 AM,2023-27123,263.0000,08/07/2023,Dana McGraw
7 Points - Cannabis Delivery,Paso Robles Magazine,263.0000,October,2023,1/8 Page,10/1/2023 12:00:00 AM,2023-27124,263.0000,09/06/2023,Dana McGraw
7 Points - Cannabis Delivery,Atascadero News Magazine,224.0000,May,2023,1/8 Page,5/1/2023 12:00:00 AM,2023-27125,224.0000,04/10/2023,Dana McGraw
7 Points - Cannabis Delivery,Atascadero News Magazine,224.0000,Jun,2023,1/8 Page,6/1/2023 12:00:00 AM,2023-27126,224.0000,05/10/2023,Dana McGraw
7 Points - Cannabis Delivery,Atascadero News Magazine,224.0000,Jul,2023,1/8 Page,7/1/2023 12:00:00 AM,2023-27127,224.0000,06/10/2023,Dana McGraw
7 Points - Cannabis Delivery,Atascadero News Magazine,224.0000,Aug,2023,1/8 Page,8/1/2023 12:00:00 AM,2023-27128,224.0000,07/10/2023,Dana McGraw
7 Points - Cannabis Delivery,Atascadero News Magazine,224.0000,Sep,2023,1/8 Page,9/1/2023 12:00:00 AM,2023-27129,224.0000,08/07/2023,Dana McGraw
7 Points - Cannabis Delivery,Atascadero News Magazine,224.0000,Oct,2023,1/8 Page,10/1/2023 12:00:00 AM,2023-27130,224.0000,09/06/2023,Dana McGraw
"777 Auction Company,",Atascadero News,60.0000,Oct 19,2023,Fictitious Business Name - New Filing,10/19/2023 12:00:00 AM,2023-32844,60.0000,10/11/2023,Cami Martin
7TH LEVEL REAL ESTATE,Paso Robles Press,75.0000,Oct 10,2024,Fictitious Business Name - New Filing,10/10/2024 12:00:00 AM,2024-48115,75.0000,10/02/2024,Cami Martin
7X Ranch,Paso Robles Magazine,700.0000,April,2026,Full Page Editorial,4/1/2026 12:00:00 AM,2026-59820,700.0000,01/05/2026,Dana McGraw
7X Ranch,Atascadero News Magazine,0.0000,April,2026,Full Page Editorial,4/1/2026 12:00:00 AM,2026-59821,0.0000,01/05/2026,Dana McGraw
8-Oh Five,Atascadero News,75.0000,Feb 6,2025,Fictitious Business Name - New Filing,2/6/2025 12:00:00 AM,2025-52414,75.0000,01/31/2025,Cami Martin
805 Boardshop,Paso Robles Magazine,600.0000,March,2023,1/2 H,3/10/2023 12:00:00 AM,2023-10661,600.0000,03/29/2023,Nicholas Mattson
805 Boardshop,Paso Robles Press,0.0000,Mar 2,2023,Magazine 1/2 - 5x5,3/2/2023 12:00:00 AM,2023-11335,0.0000,03/29/2023,Nicholas Mattson
805 Boardshop,Atascadero News,0.0000,Mar 2,2023,Magazine 1/2,3/2/2023 12:00:00 AM,2023-12504,0.0000,03/29/2023,Nicholas Mattson
805 Boardshop,Atascadero News Magazine,600.0000,March,2023,1/2 H,3/1/2023 12:00:00 AM,2023-13093,600.0000,03/29/2023,Nicholas Mattson
805 Boardshop,Atascadero News Magazine,400.0000,March,2024,1/2 Page,3/1/2024 12:00:00 AM,2024-40095,400.0000,02/12/2024,Ellie Baisch
805 Boardshop,Paso Robles Magazine,400.0000,March,2024,1/2 Page,3/1/2024 12:00:00 AM,2024-40096,400.0000,02/12/2024,Ellie Baisch
805 Boardshop,Atascadero News,0.0000,Mar 7,2024,4x5,3/7/2024 12:00:00 AM,2024-40097,0.0000,03/11/2024,Ellie Baisch
805 Boardshop,Paso Robles Press,0.0000,Mar 7,2024,4x5,3/7/2024 12:00:00 AM,2024-40098,0.0000,03/11/2024,Ellie Baisch
805 Clean Up,Paso Robles Press,75.0000,Aug 21,2025,Fictitious Business Name - New Filing,8/21/2025 12:00:00 AM,2025-57121,75.0000,08/18/2025,Cami Martin
805 Computer Tech,Atascadero News,75.0000,Jan 2,2025,Fictitious Business Name - New Filing,1/2/2025 12:00:00 AM,2024-51326,75.0000,12/24/2024,Cami Martin
805 Fence Installation And Repair,Atascadero News,75.0000,Feb 27,2025,Fictitious Business Name - New Filing,2/27/2025 12:00:00 AM,2025-53574,75.0000,02/18/2025,Cami Martin
805 Insight Plumbing,Paso Robles Press,75.0000,Apr 9,2026,Fictitious Business Name - New Filing,4/9/2026 12:00:00 AM,2026-62282,75.0000,04/06/2026,Cami Martin
805 Interiors,Calabasas Style Magazine,0.0000,March/April,2026,Full Page,3/1/2026 12:00:00 AM,2026-61624,0.0000,02/25/2026,Mary Hogan
805 Interiors,Calabasas Style Magazine,0.0000,March/April,2026,Full Page,3/1/2026 12:00:00 AM,2026-61917,0.0000,03/20/2026,Mary Hogan
805 Mega Discount,Atascadero News,60.0000,Dec 21,2023,Fictitious Business Name - New Filing,12/21/2023 12:00:00 AM,2023-37982,60.0000,12/18/2023,Cami Martin
805 Rolloffs,Atascadero News,75.0000,Jul 24,2025,Fictitious Business Name - New Filing,7/24/2025 12:00:00 AM,2025-56707,75.0000,07/16/2025,Cami Martin
805 Stitch,Atascadero News,75.0000,Aug 29,2024,Fictitious Business Name - New Filing,8/29/2024 12:00:00 AM,2024-47388,75.0000,08/22/2024,Cami Martin
99 High Tide,What to Do in Malibu,2235.0000,2023,2023,Full Page,6/8/2023 12:00:00 AM,2023-15344,2235.0000,04/14/2023,Anthony McDemas
99 High Tide,The Malibu Times,0.0000,August 11,2022,4x4,8/11/2022 12:00:00 AM,2022-20658,0.0000,12/31/2022,Anthony McDemas
99 High Tide,The Malibu Times,0.0000,August 18,2022,4x4,8/18/2022 12:00:00 AM,2022-20659,0.0000,12/31/2022,Anthony McDemas
99 High Tide,The Malibu Times,0.0000,August 25,2022,4x4,8/25/2022 12:00:00 AM,2022-20660,0.0000,12/31/2022,Anthony McDemas
99 High Tide,The Malibu Times,0.0000,August 4,2022,4x4,8/4/2022 12:00:00 AM,2022-20661,0.0000,12/31/2022,Anthony McDemas
99 High Tide,Malibu Magazine,1750.0000,Autumn (Sept/Oct),2022,Full Page,9/1/2022 12:00:00 AM,2022-22847,1750.0000,12/31/2022,Anthony McDemas
99 High Tide,Malibu Magazine,1750.0000,Summer,2022,Full Page,6/1/2022 12:00:00 AM,2022-22851,1750.0000,12/31/2022,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,Home,2023,Full Page,10/1/2023 12:00:00 AM,2023-31598,1500.0000,09/06/2023,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,Food and Wine,2023,Full Page,12/1/2023 12:00:00 AM,2023-31599,1500.0000,10/26/2023,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,Spring,2024,Full Page,2/1/2024 12:00:00 AM,2024-31600,1500.0000,01/01/2024,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,The Health Issue,2024,Full Page,4/1/2024 12:00:00 AM,2024-31601,1500.0000,02/29/2024,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,Summer,2024,Full Page,6/1/2024 12:00:00 AM,2024-31602,1500.0000,05/04/2024,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,Autumn,2024,Full Page,8/1/2024 12:00:00 AM,2024-31603,1500.0000,07/01/2024,Anthony McDemas
99 High Tide,Malibu Magazine,0.0000,The Health Issue,2024,2 Page Editorial,4/1/2024 12:00:00 AM,2024-31604,0.0000,02/29/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Dec 7,2023,1/4 Page H,12/7/2023 12:00:00 AM,2023-36902,250.0000,12/01/2023,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Dec 14,2023,1/4 Page H,12/14/2023 12:00:00 AM,2023-36903,250.0000,12/01/2023,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Dec 21,2023,1/4 Page H,12/21/2023 12:00:00 AM,2023-36904,250.0000,12/01/2023,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Dec 28,2023,1/4 Page H,12/28/2023 12:00:00 AM,2023-36905,250.0000,12/01/2023,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 4,2024,1/4 Page H,1/4/2024 12:00:00 AM,2024-36906,250.0000,01/09/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 11,2024,1/4 Page H,1/11/2024 12:00:00 AM,2024-36907,250.0000,01/09/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 18,2024,1/4 Page H,1/18/2024 12:00:00 AM,2024-36908,250.0000,01/09/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 25,2024,1/4 Page H,1/25/2024 12:00:00 AM,2024-36909,250.0000,01/09/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Feb 1,2024,1/4 Page H,2/1/2024 12:00:00 AM,2024-36910,250.0000,02/13/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Feb 8,2024,1/4 Page H,2/8/2024 12:00:00 AM,2024-36911,250.0000,02/13/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Feb 15,2024,1/4 Page H,2/15/2024 12:00:00 AM,2024-36912,250.0000,02/13/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Feb 22,2024,1/4 Page H,2/22/2024 12:00:00 AM,2024-36913,250.0000,02/13/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Mar 7,2024,1/4 Page H,3/7/2024 12:00:00 AM,2024-36914,250.0000,02/28/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Mar 14,2024,1/4 Page H,3/14/2024 12:00:00 AM,2024-36915,250.0000,02/28/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Mar 21,2024,1/4 Page H,3/21/2024 12:00:00 AM,2024-36916,250.0000,02/28/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Mar 28,2024,1/4 Page H,3/28/2024 12:00:00 AM,2024-36917,250.0000,02/28/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Apr 4,2024,1/4 Page H,4/4/2024 12:00:00 AM,2024-36918,250.0000,04/08/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Apr 11,2024,1/4 Page H,4/11/2024 12:00:00 AM,2024-36919,250.0000,04/08/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Apr 18,2024,1/4 Page H,4/18/2024 12:00:00 AM,2024-36920,250.0000,04/08/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Apr 25,2024,1/4 Page H,4/25/2024 12:00:00 AM,2024-36921,250.0000,04/08/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,May 2,2024,1/4 Page H,5/2/2024 12:00:00 AM,2024-36922,250.0000,05/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,May 9,2024,1/4 Page H,5/9/2024 12:00:00 AM,2024-36923,250.0000,05/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,May 16,2024,1/4 Page H,5/16/2024 12:00:00 AM,2024-36924,250.0000,05/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,May 23,2024,1/4 Page H,5/23/2024 12:00:00 AM,2024-36925,250.0000,05/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jun 6,2024,1/4 Page H,6/6/2024 12:00:00 AM,2024-36926,250.0000,05/30/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jun 13,2024,1/4 Page H,6/13/2024 12:00:00 AM,2024-36927,250.0000,05/30/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jun 20,2024,1/4 Page H,6/20/2024 12:00:00 AM,2024-36928,250.0000,05/30/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jun 27,2024,1/4 Page H,6/27/2024 12:00:00 AM,2024-36929,250.0000,05/30/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jul 4,2024,1/4 Page H,7/4/2024 12:00:00 AM,2024-36930,250.0000,07/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jul 11,2024,1/4 Page H,7/11/2024 12:00:00 AM,2024-36931,250.0000,07/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jul 18,2024,1/4 Page H,7/18/2024 12:00:00 AM,2024-36932,250.0000,07/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jul 25,2024,1/4 Page H,7/25/2024 12:00:00 AM,2024-36933,250.0000,07/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Aug 1,2024,1/4 Page H,8/1/2024 12:00:00 AM,2024-36934,250.0000,08/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Aug 8,2024,1/4 Page H,8/8/2024 12:00:00 AM,2024-36935,250.0000,08/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Aug 15,2024,1/4 Page H,8/15/2024 12:00:00 AM,2024-36936,250.0000,08/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Aug 22,2024,1/4 Page H,8/22/2024 12:00:00 AM,2024-36937,250.0000,08/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Sep 5,2024,1/4 Page H,9/5/2024 12:00:00 AM,2024-36938,250.0000,09/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Sep 12,2024,1/4 Page H,9/12/2024 12:00:00 AM,2024-36939,250.0000,09/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Sep 19,2024,1/4 Page H,9/19/2024 12:00:00 AM,2024-36940,250.0000,09/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Sep 26,2024,1/4 Page H,9/26/2024 12:00:00 AM,2024-36941,250.0000,09/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Oct 3,2024,1/4 Page H,10/3/2024 12:00:00 AM,2024-36942,250.0000,10/16/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Oct 10,2024,1/4 Page H,10/10/2024 12:00:00 AM,2024-36943,250.0000,10/16/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Oct 17,2024,1/4 Page H,10/17/2024 12:00:00 AM,2024-36944,250.0000,10/16/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Oct 24,2024,1/4 Page H,10/24/2024 12:00:00 AM,2024-36945,250.0000,10/16/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Nov 7,2024,1/4 Page H,11/7/2024 12:00:00 AM,2024-36946,250.0000,11/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Nov 14,2024,1/4 Page H,11/14/2024 12:00:00 AM,2024-36947,250.0000,11/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Nov 21,2024,1/4 Page H,11/21/2024 12:00:00 AM,2024-36948,250.0000,11/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Nov 28,2024,1/4 Page H,11/28/2024 12:00:00 AM,2024-36949,250.0000,11/04/2024,Anthony McDemas
99 High Tide,What to Do in Malibu,1750.0000,Annual 2024,2024,Full Page,5/1/2024 12:00:00 AM,2024-42609,1750.0000,04/01/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,May 30,2024,1/4 Page H,5/30/2024 12:00:00 AM,2024-44689,250.0000,05/30/2024,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,Winter - Food and Wine,2024,Full Page,12/1/2024 12:00:00 AM,2024-48702,1500.0000,11/16/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Dec 5,2024,1/4 Page H,12/5/2024 12:00:00 AM,2024-48703,250.0000,12/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Dec 12,2024,1/4 Page H,12/12/2024 12:00:00 AM,2024-48704,250.0000,12/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Dec 19,2024,1/4 Page H,12/19/2024 12:00:00 AM,2024-48705,250.0000,12/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Dec 26,2024,1/4 Page H,12/26/2024 12:00:00 AM,2024-48706,250.0000,12/04/2024,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 2,2025,1/4 Page H,1/2/2025 12:00:00 AM,2025-51693,250.0000,01/16/2025,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 9,2025,1/4 Page H,1/9/2025 12:00:00 AM,2025-51694,250.0000,01/16/2025,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 16,2025,1/4 Page H,1/16/2025 12:00:00 AM,2025-51695,250.0000,01/16/2025,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 23,2025,1/4 Page H,1/23/2025 12:00:00 AM,2025-51696,250.0000,01/16/2025,Anthony McDemas
99 High Tide,The Malibu Times,250.0000,Jan 30,2025,1/4 Page H,1/30/2025 12:00:00 AM,2025-51697,250.0000,01/16/2025,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,Special Fire,2025,Full Page,2/1/2025 12:00:00 AM,2025-54941,1500.0000,05/07/2025,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,Special Return to Malibu,2025,Full Page,4/1/2025 12:00:00 AM,2025-54942,1500.0000,04/18/2025,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,HOME Rebuilding Malibu,2026,Full Page,2/6/2026 12:00:00 AM,2025-54943,1500.0000,05/07/2025,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,SUMMER,2026,Full Page,6/1/2026 12:00:00 AM,,,,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,HOME,2026,Full Page,10/1/2026 12:00:00 AM,,,,Anthony McDemas
99 High Tide,Malibu Magazine,1500.0000,SPRING,2026,Full Page,4/1/2026 12:00:00 AM,2026-54946,1500.0000,02/25/2026,Anthony McDemas
99 High Tide,Malibu Magazine,0.0000,Special Return to Malibu,2025,1/3 Page Editorial,4/1/2025 12:00:00 AM,2025-56865,0.0000,08/01/2025,Anthony McDemas
99 High Tide,The Malibu Times,110.0000,Mar 5,2026,Classified Line Listing,3/5/2026 12:00:00 AM,2026-61715,110.0000,03/02/2026,Cami Martin
A French Touch,Central Coast Living,300.0000,Autumn_ Health,2025,In the Know,3/15/2025 12:00:00 AM,2025-53555,300.0000,02/19/2025,Christie Coyes
A Glance into the Past,OpenDoor Directories,100.0000,Destination,2023,Enhanced Directory Listing,5/1/2023 12:00:00 AM,2023-10042,100.0000,04/16/2023,Christie Coyes
A Glance into the Past,OpenDoor Directories,100.0000,Destination,2022,Enhanced Directory Listing,5/1/2022 12:00:00 AM,2022-21772,100.0000,12/31/2022,Christie Coyes
A Glance into the Past,OpenDoor Directories,125.0000,Destination,2024,Enhanced Directory Listing,5/1/2024 12:00:00 AM,2024-39865,125.0000,02/06/2024,Christie Coyes
A Heavenly Home,Paso Robles Magazine,661.5000,April,2023,1/2 H,4/1/2023 12:00:00 AM,2023-10247,661.5000,03/29/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,August,2023,1/2 H,8/1/2023 12:00:00 AM,2023-10297,661.5000,07/10/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,December,2023,1/2 H,12/1/2023 12:00:00 AM,2023-10331,661.5000,10/27/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,February,2023,1/2 H,2/1/2023 12:00:00 AM,2023-10382,661.5000,02/01/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,January,2023,1/2 H,1/1/2023 12:00:00 AM,2023-10444,661.5000,02/01/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,July,2023,1/2 H,7/1/2023 12:00:00 AM,2023-10492,661.5000,06/08/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,June,2023,1/2 H,6/1/2023 12:00:00 AM,2023-10535,661.5000,05/10/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,March,2023,1/2 H,3/10/2023 12:00:00 AM,2023-10589,661.5000,03/29/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,May,2023,1/2 H,5/1/2023 12:00:00 AM,2023-10683,661.5000,04/16/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,November,2023,1/2 H,11/1/2023 12:00:00 AM,2023-10725,661.5000,10/03/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,October,2023,1/2 H,10/1/2023 12:00:00 AM,2023-10759,661.5000,09/06/2023,Dana McGraw
A Heavenly Home,Paso Robles Magazine,661.5000,September,2023,1/2 H,9/1/2023 12:00:00 AM,2023-10795,661.5000,08/07/2023,Dana McGraw
A Heavenly Home,Paso Robles Press,150.0000,Apr 27,2023,Shell 3,4/27/2023 12:00:00 AM,2023-10851,150.0000,04/16/2023,Dana McGraw
A Heavenly Home,Paso Robles Press,150.0000,Aug 24,2023,Shell 3,8/24/2023 12:00:00 AM,2023-10906,150.0000,08/25/2023,Dana McGraw
